feature_set,n_neighbors,weights,test_mae,test_rmse,test_r2,bn_slice_mae,bn_slice_rmse,bn_slice_r2
fractional_composition_vector,7,distance,0.8581754532824857,1.054010855838296,0.017512152978006346,1.8807924772768738,2.282890924910191,-0.4349076706185375
fractional_composition_vector,7,uniform,0.8853670807453414,1.076201763074527,-0.024293501820559893,1.8981632653061224,2.3208528194278206,-0.4830262341174789
matminer_composition,7,uniform,0.6878832298136646,0.8773105113714929,0.3193189112930822,1.9199469387755101,2.268029100882301,-0.41628572936606356
fractional_composition_vector,5,uniform,0.7970869565217391,1.0220813677470362,0.07613617579053145,1.9422314285714286,2.2893016660108385,-0.4429779094521715
matminer_composition,1,distance,0.7994826086956521,1.1467903896641647,-0.16306800489882156,1.9528142857142854,2.7550217180891434,-1.0897950081183612
matminer_composition,1,uniform,0.7994826086956521,1.1467903896641647,-0.16306800489882134,1.9528142857142856,2.7550217180891434,-1.0897950081183612
matminer_composition,5,uniform,0.6466860869565216,0.8041259950054334,0.42814592166552823,1.9566314285714281,2.3660371233290967,-0.5413339441670499
fractional_composition_vector,5,distance,0.7825827788693888,1.0122041349401858,0.09390604427157145,1.9662436359787006,2.2941040019883454,-0.4490382143162077
matminer_composition,7,distance,0.6535652834615229,0.8435210516964312,0.37074181890752267,2.0628809445839673,2.4054126141294434,-0.5930624539613318
matminer_composition,5,distance,0.6125579281181447,0.7778891358410479,0.46485381796371517,2.0694311913756853,2.5195814072603926,-0.7478752133868578
fractional_composition_vector,1,uniform,0.8529130434782606,1.266550015147276,-0.4186710552642625,2.2407857142857144,2.9830042849928518,-1.4499735080953502
fractional_composition_vector,1,distance,0.8529130434782606,1.266550015147276,-0.4186710552642625,2.2407857142857144,2.9830042849928518,-1.4499735080953502
fractional_composition_vector,3,distance,0.8759981966450233,1.1278556946536273,-0.12497816326464317,2.2774518506942845,2.5538268962507904,-0.7957114297039714
matminer_composition,3,uniform,0.7091173913043477,0.9239303616552524,0.2450546805410576,2.358088095238095,2.6381699987419127,-0.9162809769491023
fractional_composition_vector,3,uniform,0.903495652173913,1.1509889578790145,-0.17159992057407036,2.3946523809523805,2.6287838531962637,-0.902669651087316
matminer_composition,3,distance,0.6844531708588945,0.9005992084655918,0.2827011393428098,2.450122339493376,2.753533144701276,-1.0875373323920892
