feature_set,feature_family,candidate_compatible,n_features,model_type,benchmark_role,selected_by_validation,robustness_method,robustness_group_column,requested_folds,actual_folds,completed_folds,robustness_status,robustness_note,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
matminer_composition_plus_structure_summary,structure_aware,False,30,hist_gradient_boosting,selected_model,True,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.6050184874318222,0.017580558579494886,0.8914976469637599,0.026267740024463252,0.6170372264418622,0.023524561876117494
basic_formula_composition,composition_only,True,7,hist_gradient_boosting,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,1.0116204605541939,0.01732483666940666,1.3499814092313875,0.05896703777359979,0.1240591161595963,0.024311918808379036
basic_formula_composition,composition_only,True,7,linear_regression,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,1.0851085721144869,0.02649145040181066,1.3959897701846988,0.0649769693345053,0.06363833210497874,0.023677662387467893
basic_formula_composition,composition_only,True,7,torch_mlp,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.9713820935408124,0.03390668329341208,1.5211949148570407,0.0712044899345666,-0.11213157562988725,0.038567371752079305
fractional_composition_vector,composition_only,True,118,hist_gradient_boosting,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.8355735770510153,0.027249870670763142,1.1308875045020763,0.04412849004922415,0.384491791635556,0.031027718944388466
fractional_composition_vector,composition_only,True,118,linear_regression,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.8876923765706863,0.02104993402604862,1.1722817187050167,0.034057831212163825,0.33850137092357324,0.026526693363652074
fractional_composition_vector,composition_only,True,118,torch_mlp,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.7311263280809928,0.021251722876672027,1.1019687667119233,0.046974660878634056,0.4159986703561728,0.023978396072611718
matminer_composition,composition_only,True,19,hist_gradient_boosting,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.6321220613391219,0.019211460456496892,0.9286368408605676,0.03462547800131904,0.584549043224644,0.02734039656760932
matminer_composition,composition_only,True,19,linear_regression,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.9002920679316487,0.01246021868401024,1.1881665134698973,0.02924296467325437,0.32036137488683714,0.02580215123830313
matminer_composition,composition_only,True,19,torch_mlp,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.7419860883768434,0.024112145548697693,1.122254501633257,0.04920651784443988,0.3936230304801783,0.039533594716933546
matminer_composition_plus_structure_summary,structure_aware,False,30,linear_regression,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,1.0522618468100249,0.35837459054771037,7.429897312407418,12.553154170607355,-98.76640434128362,198.2446031024441
matminer_composition_plus_structure_summary,structure_aware,False,30,torch_mlp,candidate_model,False,group_kfold_by_formula,formula,5,5,5,ok,Runs a grouped-by-formula cross-validation benchmark across configured feature/model combos so the advisor-facing story does not depend on a single lucky holdout split.,0.660439064263169,0.015394652026472683,1.028044485070933,0.04671858951226252,0.4916658904427854,0.02559904621729558
feature_agnostic_dummy,feature_agnostic_baseline,False,30,dummy_mean,dummy_baseline,False,group_kfold_by_formula,formula,5,5,5,ok,Dummy regressor baseline that ignores composition features.,1.1526862687554993,0.023316302661850467,1.4431925380437955,0.05135635365185667,-0.0013334277897428138,0.0016053850172013976
